popid,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,Mean
SRUMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRVAL,84.6,58.8,45.9,7.9,6.5,9.9,8.2,14.5,10.6,10.8,11.7,9.9,13,22.5
SRLMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRYFS,NA,NA,47.2,8.4,10.1,16.5,10.8,17.4,13.6,20,18,22.8,18.3,18.5
SREFS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRPAH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRLEM,18.4,9.2,15.8,6.6,6.2,6.7,8.9,11.8,10.1,7.4,8.5,5.1,7.2,9.4
SRNFS,NA,NA,NA,NA,NA,NA,22.6,35.6,24.6,22.5,NA,11.6,13.5,21.7
SRPAN,NA,NA,NA,NA,NA,NA,NA,NA,9.4,10,11.9,6.8,8.2,9.3
MFBEA,NA,NA,NA,NA,NA,5,5.9,20.6,7.3,9.3,7.1,6.3,34.5,12
MFMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,5.2,9.3,7.4
MFSUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFUMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFLMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFLOO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFCAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFBIG,NA,NA,6.6,5.4,6.4,7,5.2,10.2,7.1,8.7,5.3,5,5.8,6.6
SRCHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SFSMA,5,3.4,4.4,5.5,4.8,10.2,5.3,8.2,7.4,8.3,4.7,3.5,4.9,5.8
SFEFS,8.5,6.3,6.4,5.4,5.3,9.6,4.6,7.7,6.6,7.5,5.5,4.1,5.5,6.4
SFSEC,8.1,5.6,5.6,5.3,5,10.1,4.8,7.1,6.9,7,5.3,4.2,5.2,6.2
SRLSR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRBSH,NA,8.6,14.3,16.2,13.5,26.5,14.8,17.8,26.8,38.8,14.6,23.1,22.1,19.8
IRMAI,NA,4,5.5,8.7,5.8,9.6,4.5,6.4,7.7,7.8,6,6,7.7,6.6
GRUMA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,28.6,34.4,26.7,18.4,28.8
GRCAT,NA,NA,NA,NA,NA,11.6,11.9,14,13.2,10.5,11,9.8,12.6,11.8
GRLOO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,16.9
GRMIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6.3,7.4,6.6
GRLOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,5.3,4.5,NA,5.7
GRWEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,10.8,12.6,60.1,23.4
SNASO,213.3,354.2,506.7,29.3,271,47.3,1160.7,46.9,NA,NA,NA,46.6,29.9,270.6
SNTUC,28.8,26.2,16.9,20.9,13.6,15.2,13.8,17.9,19,20.4,21,37.6,31.4,21.8
