TRT_POPID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Mean
SRUMA-s,58.6,44.4,68.6,11.1,15.1,11.1,12.8,17.6,18.4,18.5,9.9,8.6,11.7,47.1,25.2
SREFS-s,NA,NA,93.1,23.1,NA,21.9,NA,NA,NA,20.6,16,NA,NA,NA,34.9
SRPAH-s,NA,47.6,72.2,NA,14.8,16.2,18.5,31.4,20.4,19.2,14.9,21.9,38.2,57.6,31.1
SRLEM-s,9.5,11.5,8.4,7.7,9.8,9.6,7.1,8.6,9.8,14.6,9.9,11.8,18,17.4,11
SRNFS-s,NA,NA,NA,NA,NA,NA,11,NA,47.2,12.5,11.2,NA,20.6,15.5,19.7
SRPAN-s,NA,NA,NA,NA,NA,NA,NA,NA,11.3,10.7,8.6,7.6,10,8.2,9.4
SRCHA-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFUMA-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,14.2,22.5,19.1,21.6
MFBIG-s,NA,9.1,16.1,7.7,14.4,16.7,12.9,30.4,9.4,13.1,15,11.4,9.1,8.1,13.3
SFMAI-s,5,4.1,5.1,5.2,9.2,4.4,5.4,5.2,8.9,8.2,12,6.1,7.1,6.6,6.6
SFSEC-s,12.2,8.3,11.6,19.5,14.4,10.2,11.2,13,17.3,23.2,25.2,19.7,18.9,15.6,15.7
SRLSR-s,16.4,17.5,19.9,28.1,34,24.6,28.4,48.7,22.3,36.7,NA,NA,NA,34.7,28.3
CRSEL-s,NA,NA,NA,NA,NA,NA,NA,NA,6.9,8,9.1,4.4,5.6,4.6,6.4
CRLOC-s,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7,9.5,5,5.4,4.8,6.4
CRSFC-s,NA,NA,5.1,6.8,9.9,6.9,6.4,6.5,15.8,11,10.8,7.4,8.1,6.9,8.5
CRLOL-s,NA,NA,6.4,8,10.7,7.7,8.3,10.2,9.9,NA,13.8,7.7,11.9,9.7,9.5
CRNFC-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRLMA-s,5,7.5,6.1,6.5,7.6,6.6,5.6,6.9,6.6,9,6.7,7.2,NA,8.4,6.9
IRMAI-s,NA,3.3,3.2,4,5.2,4.3,3.9,3.8,4.3,5.6,4.4,4.4,4.4,4.1,4.2
GRUMA-s,NA,NA,NA,4.4,6.3,4.8,4,4.8,5.3,6,4.8,4,7.6,5.1,5.2
GRWAL-s,NA,NA,NA,NA,9,6.7,5.2,5.6,6.5,6.8,4.7,4.1,6.4,5.7,6.1
GRJOS-s,NA,4.4,3.8,4.2,5.6,4.1,4.2,4.7,4.1,5.7,5.2,4.9,7.2,6.6,5
GRLMT-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.9,6.4,NA,11.7,7.8
SNHCT-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNASO-s,4.7,4.9,4.6,5.2,7.7,6.3,4.5,7,6.8,12.8,8.1,6.1,6.6,5.7,6.5
SNTUC-s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
